,pH,NO3,NH4,Moisture,Altitude,MAT,MAP,TP ,TN,TK,SOC,,,,
T32,6.13,65.86080349,24.55071844,31.06,3449,2.33,702.24,1.029291844,3.475655124,7.876257545,56.61889077,,,,
T33,7.11,58.39128727,18.10011881,32.23,3467,2.88,729.01,1.19120499,5.462627684,9.043836718,60.6811435,,,,
T35,6.47,49.4644905,44.86079289,26.56,3681,0.19,770.92,1.171365664,4.27452917,12.58516644,41.76706478,,,,
T36,5.99,331.6446232,61.24192152,39.81,3655,-0.55,722.53,1.397140494,8.334411626,10.48500704,95.43440807,,,,
T37,7.2,192.0681416,35.72436447,21.93,3851,-1.34,572.74,0.758767062,5.489157728,18.59560397,48.43724026,,,,
T38,6.23,398.6242703,58.49361747,32.81,4011,-1.75,603.43,1.003902261,6.080424333,11.95826645,64.63388095,,,,
T39,5.92,129.0814589,37.71913923,24.46,4095,-2.35,611.25,0.948467535,4.295164951,9.581557536,61.0744367,,,,
T40,6.6,180.8310996,50.10988683,34.1,4077,-1.62,560.34,0.752083183,5.441109098,9.743539546,64.0600202,,,,
T41,7.87,88.91078003,45.00003459,21.36,4612,-4.84,605.86,0.856584419,5.88901942,11.74411822,59.66217263,,,,
T42,7.59,124.9008018,10.03920084,20.82,4335,-1.7,594.95,0.68028637,3.271444983,11.36983632,31.77301255,,,,
T43,6.79,50.67217622,41.31754323,27.44,4306,-0.99,600,1.642665488,5.994093955,11.72888016,62.20580544,,,,
T44,7.04,130.4975497,35.63268513,33.67,4333,0.29,616.61,0.874611817,6.022240466,8.268101761,74.01554942,,,,
T45,7.16,76.01638535,22.03715961,19.17,3359,4.97,572.38,1.632097805,3.517780237,14.90894537,33.27607643,,,,
T46,8.07,102.7269438,10.98678674,21.67,4091,1.69,579.08,0.821570791,5.483626139,10.66250503,60.19892574,,,,
T47,6.3,331.4368257,18.95696756,21.07,4499,0.31,588.52,1.117296594,8.330011634,10.49358342,90.22743279,,,,
T48,7.8,41.99915054,10.31862847,11.31,4363,2.02,580.84,0.513803828,1.96230012,10.13118063,17.56645502,,,,
T49,8.02,50.69952229,8.399653683,2.27,4110,0.14,623.3,0.584088779,1.632949734,8.29222573,16.37655493,,,,
T50,6.13,109.8910541,10.87208032,28.61,4618,-2.05,650.56,0.502150912,2.374486703,10.23328759,31.79456527,,,,
T51,7.56,89.14746397,15.80979541,16.31,2363,7.77,1018.39,2.737450222,2.914602454,10.36979065,48.79353195,,,,
T52,6.47,131.2315431,8.617844141,41.28,3765,2.25,694.1,0.587488839,8.676727582,4.262492474,83.4257609,,,,
T53,7.36,101.8107477,13.33157044,3.57,1857,9.68,912.98,0.757570123,2.787887765,9.20738975,21.97256196,,,,
T54,5.49,388.5398733,43.2901646,13.51,3355,6.67,663.54,0.51342732,2.170861108,7.153445513,15.47569019,,,,
T55,7.23,241.686855,32.3214816,23.25,2351,13.47,810.55,1.074904265,1.713544919,16.76300578,25.88427046,,,,
T56,6.62,190.7200856,13.23316321,19.79,2044,17.59,788.75,1.011618332,3.507658751,15.26657486,36.6900554,,,,
