,richness,shannon,invsimpson,treat,ID,chao.1,ACE,evenness
T05,10548,7.865834848,392.1419166,T,4,17613.86329,18694.03531,0.849103709
T06,11166,7.872661155,332.4089932,T,5,17739.27578,18860.26402,0.844649153
T07,10106,7.754540921,384.2798177,T,6,15993.61622,17282.95697,0.840975814
T08,12215,8.130202348,589.1339039,T,7,21843.29897,23570.45364,0.863957439
T09,11835,8.199727476,816.2575307,T,8,19098.48154,20618.81733,0.874281681
T10,12217,8.288591131,873.1946207,T,9,19281.91477,20637.03703,0.880773328
T11,11549,8.171327104,867.07383,T,10,18594.04634,19887.68415,0.873531939
T12,10677,7.77537309,251.015148,T,11,16890.6558,17849.80561,0.838238594
T13,9900,7.644868795,275.8306727,T,12,15301.34983,16480.27855,0.830937804
T15,6631,5.909526675,42.17214175,T,13,10946.49431,11869.96019,0.671574448
T18,7204,7.607896491,564.0000052,T,14,10519.79385,10614.06051,0.85651441
T19,10280,7.897684396,497.8482494,T,15,14940.23223,16001.69814,0.854916909
T20,13219,8.320168336,882.5568317,T,16,23916.2082,25886.37076,0.876784534
T21,10977,7.952568152,379.1443699,T,17,16918.05734,17714.45179,0.85478788
T22,10615,8.017546773,604.4908354,T,18,16263.1947,17453.54988,0.864889596
T23,11542,8.157594954,708.6909604,T,19,17802.01112,18857.54931,0.87212047
T24,11050,8.209207007,986.8558077,T,20,17413.96779,18454.41164,0.881744711
T25,8078,7.293302968,316.0125964,T,21,13218.77596,14275.95813,0.810646255
T26,10801,7.958433792,470.5738256,T,22,17204.78235,17948.7082,0.856907093
T27,9546,7.857482432,448.3631923,T,23,15004.05556,15820.66504,0.857440798
T28,12344,8.170088007,572.1417547,T,24,20282.55218,21771.58369,0.867227758
T29,10348,7.853972849,555.9723626,T,25,17607.36321,18896.36081,0.849578842
T30,11088,8.254658601,961.826057,T,26,17325.56727,18148.18851,0.886299821
T31,10038,7.670187517,300.1047624,T,27,16235.53343,17524.22347,0.832437233
T32,8886,7.437703581,281.3936665,T,28,13714.83898,14616.48405,0.818028329
T33,9675,7.472571851,271.605947,T,29,16689.43023,18038.72156,0.814245086
T34,9126,7.332421443,212.4270093,T,30,15814.36478,16927.66052,0.804092084
T35,9856,7.715677612,367.062942,T,31,15531.54167,16707.01921,0.839040396
T36,10070,7.583332747,175.1523827,T,32,16219.37519,17296.87801,0.822726785
T37,11116,8.028156862,405.4932008,T,33,17248.00935,18440.21494,0.861747052
T38,14148,8.323076144,501.0433397,T,34,27106.41782,29646.91951,0.870858012
T39,10438,7.862659352,462.0461987,T,35,16916.34908,17953.04004,0.849722509
T40,14236,8.44704835,1017.717479,T,36,25539.60784,28079.6362,0.883256393
T41,11206,8.163172107,824.0196183,T,37,17216.13401,18401.92721,0.87548187
T42,9840,7.649163342,422.6456251,T,38,16746.64028,17929.2708,0.831954297
T43,12304,8.011402453,469.2221402,T,39,22938.66499,24625.42183,0.850676888
T44,11967,8.08769415,645.6348731,T,40,20974.47718,22838.09343,0.861317707
T45,12539,7.939985617,240.7208312,T,41,23455.71564,24997.40913,0.841403302
T46,10135,7.478340557,282.9848476,T,42,19891.28846,21511.65889,0.810770078
T47,10323,7.176495652,95.0370336,T,43,20814.40527,22773.90436,0.776498046
T48,11573,7.754922482,269.2715822,T,44,21679.12926,23728.73124,0.828833478
T49,11823,8.056253066,644.5357545,T,45,21430.61767,23293.78772,0.859076893
T50,10546,7.767273562,389.9460225,T,46,18953.56459,20091.25695,0.838481346
T51,11932,7.981255507,479.6428775,T,47,21930.05464,23441.63936,0.850247495
T52,12235,8.093634025,537.9555334,T,48,24071.21217,25470.20783,0.859922003
T53,11641,8.118655894,798.3907127,T,49,20912.82476,21786.4307,0.867165734
T54,7074,6.077464906,14.10927387,T,50,12083.86525,12209.06602,0.68562055
T55,12804,8.347234977,926.7854728,T,51,22254.27422,23866.32736,0.882603605
T56,11893,7.992272867,492.5217191,T,52,22867.5538,24526.43041,0.851718232
